evening indoor mobility,day,uid
0.001716949,136,u27
0.026656839,137,u27
0.002898169,138,u27
0,139,u27
0.054394209,140,u27
0.010678322,141,u27
0.001214233,142,u27
0,143,u27
0.011996292,144,u27
0,145,u27
0.054455767,146,u27
0.040934854,147,u27
0.006295982,148,u27
0.00212838,149,u27
0.002001951,150,u27
0.03114512,151,u27
0,86,u03
0,87,u03
0,88,u03
0,89,u03
0,90,u03
0,91,u03
0,93,u03
0,94,u03
0,95,u03
0.007672339,96,u03
0,97,u03
0,98,u03
0,99,u03
0,100,u03
0,101,u03
0,102,u03
0.024902256,103,u03
0,104,u03
0,105,u03
0,106,u03
0,107,u03
0,108,u03
0,110,u03
0,111,u03
0,112,u03
0,113,u03
0,114,u03
0.044570428,115,u03
0.01846607,116,u03
0,117,u03
0.000105647,118,u03
0.028089554,119,u03
0,120,u03
0,121,u03
0,122,u03
0,123,u03
0,124,u03
0.013818436,125,u03
0.000860642,126,u03
0,127,u03
0,128,u03
0,129,u03
0,130,u03
0,131,u03
0.00031904,132,u03
0,133,u03
0,134,u03
0,135,u03
0,87,u35
0,88,u35
0.062060141,89,u35
0,90,u35
0,91,u35
0.059608541,92,u35
0.033331089,93,u35
0,94,u35
0.092478493,95,u35
0,97,u35
0.205877706,98,u35
0.03974231,99,u35
0.156143777,100,u35
0.093444987,101,u35
0.043367949,102,u35
0.007897896,103,u35
0.015362217,104,u35
0,105,u35
0.118657343,106,u35
0.218063591,107,u35
0.134226338,108,u35
0.023141067,109,u35
0,110,u35
0.401832852,111,u35
0.060120148,112,u35
0.192391192,113,u35
0.199461053,114,u35
0,115,u35
0,116,u35
0.057557491,117,u35
0.116966047,118,u35
0.037099494,119,u35
0,120,u35
0.296504497,121,u35
0,122,u35
0,123,u35
0.175185843,124,u35
0,125,u35
0.068776964,126,u35
0.067843185,127,u35
0,128,u35
0,129,u35
0,130,u35
0.013070581,131,u35
0.032648378,132,u35
0,134,u35
0.044498832,135,u35
0,136,u35
0,137,u35
0,138,u35
0.027563976,139,u35
0.063729105,140,u35
0,141,u35
0,142,u35
0,143,u35
0.008867635,144,u35
0.01347266,145,u35
0,146,u35
0.049473933,147,u35
0.032126277,148,u35
0,149,u35
0,150,u35
0.088783125,86,u34
0.038380594,87,u34
0.018181818,90,u34
0.066219808,91,u34
0.031621636,92,u34
0.004101605,93,u34
0.152859086,94,u34
0.084242196,95,u34
0.057833787,96,u34
0.213292512,98,u34
0.013995451,99,u34
0.025654948,101,u34
0.042763491,102,u34
0.122412038,103,u34
0.053063399,105,u34
0.059980205,107,u34
0.122689877,108,u34
0.015895157,109,u34
0.008750431,110,u34
0,111,u34
0.002810844,112,u34
0.016755714,113,u34
0.153878232,114,u34
0.010532506,117,u34
0.045475378,118,u34
0.043039182,119,u34
0.005627202,128,u34
0,130,u34
0.001278434,131,u34
0.033239815,132,u34
0.057796385,133,u34
0.07843667,134,u34
0.003487967,139,u34
0.126130921,140,u34
0.170929915,86,u30
0.056197347,87,u30
0.20755326,88,u30
0.125243665,90,u30
0.064921822,91,u30
0.025148088,92,u30
0.150277649,93,u30
0.028887557,94,u30
0.118091315,95,u30
0.078266946,97,u30
0.014512114,98,u30
0.224023581,99,u30
0.086863085,100,u30
0.028885067,101,u30
0.117377695,102,u30
0.033434408,104,u30
0.025441864,105,u30
0.046346346,106,u30
0.046929149,107,u30
0.036819081,108,u30
0.094416599,109,u30
0.003967166,110,u30
0.583280017,111,u30
0.008816856,112,u30
0.060670344,113,u30
0.057882551,114,u30
0.065698865,115,u30
0.124447429,116,u30
0.022121869,117,u30
0.054168292,118,u30
0.025458543,119,u30
0.020131878,120,u30
0.029953437,121,u30
0.088418347,122,u30
0.053590636,123,u30
0.012944793,124,u30
0.096332753,125,u30
0.055846986,126,u30
0.046889782,127,u30
0.148776912,128,u30
0.029664004,129,u30
0.04155109,130,u30
0.060609771,132,u30
0.004139983,133,u30
0.012366167,134,u30
0,135,u30
0.071781335,139,u30
0.029668412,140,u30
0.032481998,141,u30
0.165429165,142,u30
0.043864878,143,u30
0.061115986,144,u30
0.062340898,145,u30
0.0091184,146,u30
0.056661411,148,u30
0,149,u30
0.040802213,150,u30
0.030594688,151,u30
0.007877575,86,u08
0.047961373,87,u08
0.016353121,88,u08
0.079778052,89,u08
0.021911964,90,u08
0.050581332,91,u08
0.037507114,92,u08
0.225289279,93,u08
0.025677603,94,u08
0.211632796,95,u08
0.122970895,96,u08
0.049958686,97,u08
0.104732928,98,u08
0.037987377,99,u08
0.052467385,100,u08
0.043426253,101,u08
0.002913328,102,u08
0.037527594,103,u08
0.192403709,104,u08
0.13343748,105,u08
0.076909329,106,u08
0.009061915,107,u08
0.00968778,108,u08
0.06121365,109,u08
0.131744771,110,u08
0.096322039,111,u08
0.086989766,112,u08
0.000931032,113,u08
0.049306218,114,u08
0.146358468,115,u08
0.01432622,116,u08
0.005254383,117,u08
0.047102374,118,u08
0.100218475,119,u08
0.102970054,120,u08
0.141888779,121,u08
0.050038999,122,u08
0.113895083,123,u08
0.080687269,124,u08
0.154455907,125,u08
0.138105529,126,u08
0.137350801,127,u08
0.094474565,128,u08
0.066724437,129,u08
0.260237939,130,u08
0.049504429,131,u08
0.077902937,132,u08
0.000273913,133,u08
0.080786606,134,u08
0.310655501,135,u08
0.085369294,136,u08
0.047600768,137,u08
0.029720479,138,u08
0.0359447,139,u08
0.080200369,140,u08
0.067116841,141,u08
0.06559623,142,u08
0.057199667,143,u08
0.000296633,144,u08
0.098603243,145,u08
0.038002903,146,u08
0.102545058,147,u08
0.089822686,148,u08
0.207966953,86,u00
0.119819062,87,u00
0.058555518,88,u00
0.124461207,89,u00
0.015368657,90,u00
0.023545737,91,u00
0.176087946,92,u00
0.019288741,93,u00
0.139142336,94,u00
0.026752875,95,u00
0.088184824,96,u00
0.16410336,97,u00
0.340626288,98,u00
0,99,u00
0.00448583,100,u00
0.021829235,101,u00
0.021520168,102,u00
0.008643595,103,u00
0.164092048,104,u00
0.022556237,105,u00
0.017623039,106,u00
0.041192666,107,u00
0.029455441,108,u00
0.074942055,110,u00
0.159689743,111,u00
0.052978951,112,u00
0.105296583,113,u00
0.032318447,115,u00
0.019737988,116,u00
0.180971289,117,u00
0.009256297,119,u00
0.058705217,120,u00
0.005685856,129,u00
0.010004984,130,u00
0.01706134,131,u00
0.013383991,132,u00
0.045441089,133,u00
0.027356951,135,u00
0.019642231,136,u00
0.101663586,137,u00
0.300549451,142,u00
0.075524239,144,u00
0.008377176,145,u00
0.012055683,146,u00
0.035099089,147,u00
0.580462725,148,u00
